ID	Int_TYPE1	Area_TYPE1	Int_TYPE2_N	Area_TYPE1
517	2.3834	2308	7.1924	2308
518	3.1535	228	3.3333	228
519	2.5741	897	2.1215	897
520	3.0292	1095	7.9507	1095
521	2.6316	38	2.1316	38
522	2.3453	3229	1.7646	3229
523	3.9657	2912	14.5240	2912
524	1.9235	588	1.8997	588
525	2.7391	115	4.1913	115
526	1.9527	909	1.6843	909
527	4.9297	185	1.7243	185
528	1.4444	225	1.2000	225
529	2.6082	365	2.1918	365
530	2.6316	38	1.3684	38
531	2.0669	2033	1.4579	2033
532	2.2563	870	1.4609	870
533	1.1247	826	5.5436	826
534	2.3602	1949	1.8876	1949
535	1.5560	1117	1.0842	1117
536	2.1636	2775	1.6267	2775
537	1.0352	2843	2.0067	2843
538	2.2924	513	1.4094	513
539	1.8172	2057	16.6276	2057
540	1.9386	3469	1.3528	3469
541	2.5294	17	1.1765	17
542	1.4808	832	1.4315	832
543	2.1900	737	7.3066	737
544	1.7981	2016	9.2882	2016
545	1.5131	2479	2.0948	2479
546	2.8800	25	14.3200	25
547	3.0790	582	4.4880	582
548	1.9445	1172	2.4454	1172
549	1.5665	2136	1.3212	2136
550	1.7073	164	1.9085	164
551	1.0824	1541	1.3407	1541
552	0.7847	4390	1.1169	4390
553	1.3098	1475	7.1803	1475
554	1.4645	2338	1.4521	2338
555	0.5055	1717	0.8381	1717
556	0.9268	1707	1.2168	1707
557	1.1168	1798	1.3904	1798
558	1.3259	1080	1.4843	1080
559	0.8080	2094	1.1323	2094
560	0.9488	1621	2.5608	1621
561	0.6680	1967	1.1469	1967
562	0.9332	1452	1.3444	1452
563	0.8054	2076	1.0255	2076
564	0.6166	2003	1.3714	2003
565	0.7571	1688	1.0166	1688
566	1.0256	39	1.3077	39
567	2.1455	275	15.5164	275
568	2.4622	331	8.2417	331
569	4.2134	895	7.3497	895
570	2.1005	209	4.1722	209
571	1.4956	904	4.5321	904
572	2.1097	465	7.8968	465
573	0.9110	191	10.2356	191
574	1.2026	153	5.7124	153
575	2.4449	681	10.5977	681
576	14.1916	595	11.9261	595
577	6.6243	567	3.4603	567
578	1.7477	111	10.2523	111
579	2.5225	488	13.4057	488
580	13.9683	756	3.4471	756
581	1.8351	188	32.6649	188
582	6.6866	1474	6.3494	1474
583	9.0521	557	13.2926	557
584	1.8681	796	25.2324	796
585	2.9795	829	12.3836	829
586	15.0699	229	3.8341	229
587	8.8141	839	3.3421	839
588	22.9852	813	6.3050	813
589	9.9453	384	1.6771	384
590	3.5219	571	6.6778	571
591	1.4374	679	8.7865	679
592	1.8946	332	12.1988	332
593	14.0500	120	4.2750	120
594	29.7430	358	3.5196	358
595	8.5279	752	7.2899	752
596	1.5709	268	5.7388	268
597	6.8031	127	8.1811	127
598	2.8748	815	7.4663	815
599	1.3620	942	6.8641	942
600	14.1994	316	5.9114	316
601	2.6964	616	20.9156	616
602	1.8356	1235	12.2866	1235
603	7.1579	152	0.9737	152
604	14.9094	1700	3.4506	1700
605	8.0828	302	2.0927	302
606	15.2360	1284	10.9050	1284
607	11.9772	219	3.0320	219
608	3.8964	782	2.1701	782
609	16.0151	729	1.6708	729
610	4.1831	628	6.0892	628
611	13.2072	666	4.1141	666
612	18.4622	476	1.7689	476
613	19.4329	559	8.2451	559
614	2.6426	277	4.3249	277
615	3.1053	1368	1.3187	1368
616	1.6382	246	5.4837	246
617	2.9541	784	1.3099	784
618	26.0981	1142	2.4720	1142
619	5.8639	147	3.1293	147
620	2.8156	179	11.5698	179
621	14.3097	381	7.4016	381
622	1.9426	714	1.5504	714
623	14.1531	712	7.4874	712
624	1.2471	170	2.1941	170
625	2.7086	405	5.9506	405
626	2.4438	676	1.9763	676
627	2.1308	910	2.1385	910
628	1.6600	797	1.7051	797
629	2.7368	247	1.8907	247
630	1.6278	908	14.5507	908
631	1.3287	1509	10.4003	1509
632	3.5094	1225	7.0702	1225
633	1.8899	427	4.5012	427
634	2.5136	664	4.7651	664
635	4.9370	1634	4.2889	1634
636	11.7375	922	2.5315	922
637	6.3434	166	3.5000	166
638	2.8125	64	1.8594	64
639	1.2842	570	16.9754	570
640	2.3602	744	1.4543	744
641	1.7042	666	1.6982	666
642	5.4378	555	3.1820	555
643	2.1711	707	2.0014	707
644	1.9635	274	1.2445	274
645	1.3485	614	0.8616	614
646	1.8836	902	1.3914	902
647	1.4253	562	1.6797	562
648	5.0078	513	10.6199	513
649	3.3064	470	1.8234	470
650	2.7097	1464	19.6878	1464
651	0.9520	333	16.4204	333
652	2.0850	882	5.3231	882
653	3.4838	1724	5.0209	1724
654	1.3212	386	7.5803	386
655	3.6878	1310	3.0160	1310
656	1.8445	1016	1.6467	1016
657	2.2117	1294	1.6577	1294
658	1.5175	458	1.6921	458
659	1.7600	150	1.5267	150
660	1.2981	312	1.6314	312
661	0.9333	105	1.4571	105
662	1.5425	776	1.6572	776
663	1.5356	898	1.4621	898
664	0.7630	1131	0.9885	1131
665	0.8871	921	1.0597	921
666	0.9110	292	2.2979	292
667	5.2264	106	2.6415	106
668	1.1786	56	4.3929	56
669	0.6220	1074	0.9860	1074
670	0.8290	883	5.2480	883
671	0.9045	335	2.9552	335
672	0.6914	1212	1.1997	1212
673	1.1229	179	2.2235	179
674	0.9751	643	1.3546	643
675	0.6915	389	1.0129	389
676	0.7318	261	1.4598	261
677	0.9652	115	1.0435	115
678	0.4336	678	1.5531	678
679	3.5160	564	3.9539	564
680	20.4208	366	3.1885	366
681	2.1037	820	16.1756	820
682	1.5464	474	2.6624	474
